,0
0,0
1,1
2,3
3,2
4,2
5,3
6,0
7,3
8,3
9,2
10,0
11,1
12,0
13,1
14,4
15,1
16,2
17,0
18,2
19,2
20,4
21,4
22,1
23,0
24,2
25,4
26,1
27,0
28,3
29,4
30,2
31,1
32,1
33,3
34,4
35,3
36,1
37,1
38,0
39,3
40,2
41,0
42,1
43,1
44,4
45,0
46,2
47,2
48,0
49,4
50,2
51,2
52,3
53,2
54,0
55,1
56,4
57,1
58,4
59,0
60,1
61,2
62,2
63,2
64,4
65,0
66,4
67,0
68,4
69,0
70,3
71,3
72,4
73,2
74,3
75,4
76,0
77,4
78,3
79,1
80,1
81,0
82,3
83,0
84,4
85,4
86,1
87,0
88,0
89,3
90,3
91,4
92,0
93,2
94,3
95,1
96,0
97,2
98,4
99,4
100,2
101,2
102,4
103,4
104,4
105,0
106,2
107,3
108,2
109,0
110,4
111,2
112,1
113,4
114,4
115,4
116,4
117,2
118,0
119,2
120,2
121,4
122,3
123,3
124,2
125,1
126,4
127,4
128,3
129,2
130,2
131,2
132,1
133,4
134,3
135,0
136,3
137,2
138,2
139,3
140,2
141,1
142,0
143,3
144,2
145,1
146,4
147,3
148,0
149,1
150,4
151,2
152,1
153,3
154,2
155,3
156,4
157,2
158,0
159,3
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,3
168,2
169,4
170,3
171,0
172,4
173,3
174,1
175,1
176,3
177,3
178,0
179,0
180,2
181,1
182,3
183,3
184,1
185,2
186,0
187,1
188,0
189,2
190,2
191,3
192,0
193,1
194,4
195,1
196,1
197,0
198,1
199,4
200,4
201,1
202,3
203,4
204,0
205,4
206,1
207,4
208,3
209,0
210,4
211,3
212,0
213,4
214,1
215,3
216,2
217,1
218,2
219,4
220,3
221,3
222,3
223,1
224,2
225,4
226,3
227,2
228,1
229,1
230,0
231,0
232,0
233,2
234,3
235,0
236,2
237,4
238,4
239,3
240,0
241,3
242,0
243,1
244,1
245,1
246,3
247,0
248,0
249,3
